Assignment Name,Assignment ID,Remediation Assignment Topic 1,Remediation Assignment Topic 2,,
6.2a Simple Interest,5eaed9795adf0d00048530da,5edabd92457acf000cd915c4,,,
6.2b Miscellaneous Applications,5eaed9785adf0d00048530d5,5edabd92457acf000cd915c4,,,
7.1a Square Roots,5edac008457acf002dd91647,5eda3a9008678c002b43b2b5,5eaed9735adf0d000485304d,,
7.1b Simplifying Square Roots,5edac020516661002b906739,5edac008457acf002dd91647,,,
7.1c Multiplying and Dividing Square Roots,5edac038171910005a1b1caf,5edac020516661002b906739,,,
7.1d Rationalizing Denominators,5edac046457acf002cd912c2,5edac020516661002b906739,5edac038171910005a1b1caf,,
8.1a A General Strategy for Solving Linear Equations,5eaed97b5adf0d000485310c,5eda43017952e2002dc676e2,5eaed9745adf0d0004853064,,
8.1b Formulas,5eaed97d5adf0d000485313b,5eaed97d5adf0d000485313b,,,
8.1c Applications,5eaed97b5adf0d0004853112,5eaed97d5adf0d000485313b,,,
"8.2a Rectangles, Triangles and Trapezoids",5eaed97c5adf0d0004853121,5eaed9725adf0d000485302d,5eaed97d5adf0d000485313b,,
8.2b Circles,5eaed97c5adf0d0004853128,5eaed9725adf0d000485302d,5eaed97d5adf0d000485313b,,
8.2c Volume and Surface Area,5eaed97d5adf0d0004853134,5eaed9725adf0d000485302d,5eaed97d5adf0d000485313b,,
9.1a Properties of Exponents,5eaed97d5adf0d0004853150,5ec15d4ff30afe322fc31864,,,
9.1b Integer Exponents,5eaed97e5adf0d000485316e,5eaed97d5adf0d0004853150,,,
9.1c Scientific Notation,5edac3a55166611edf90584c,5edaba07516661004e906442,5eaed97e5adf0d000485316e,,
9.2a Polynomial Terminology,5edac4e6457acf2071d905d4,5edac4e6457acf2071d905d4,,,
9.2b Adding and Subtracting Polynomials,5eaed97d5adf0d0004853148,5eeb9e6df6a8090ae0af64dd,,,
9.2c Multiplying Polynomials,5eaed97e5adf0d000485315e,5eaed97d5adf0d0004853150,5eaed97d5adf0d0004853148,,
9.2d Dividing by Monomials,5edac5e95166611f3c9058d8,5eaed97d5adf0d0004853150,,,
9.3a Finding Greatest Common Factors,5eaed97f5adf0d000485317b,5eda3a9ff7651e006b791c2c,5eaed97e5adf0d000485315e,5edac5e95166611f3c9058d8,
9.3b Removing Common Factors,5edac64b457acf1f56d9060d,5eaed97f5adf0d000485317b,,,
9.3c Factoring by Grouping,5edac65c5166611de190592b,5edac64b457acf1f56d9060d,,,
10.1 The Rectangular Coordinate System,5eaed97f5adf0d0004853183,5eaed9735adf0d000485304d,,,
10.2a Solutions of Linear Equations in Two Variables,5eaed97f5adf0d000485318c,5eaed9725adf0d0004853035,,,
10.2b Graphs of Linear Equations in Two Variables,5edac981457acf1fb3d906e5,5eaed97f5adf0d0004853183,5eaed97f5adf0d000485318c,,
10.3a Slopes of Lines,5eaed9805adf0d0004853196,5edac981457acf1fb3d906e5,,,
10.3b Slopes and Graphs,5edaca521719101ee01b115c,5edac981457acf1fb3d906e5,5eaed9805adf0d0004853196,,
