Assignment Name,Assignment ID,Remediation Assignment Topic 1,Remediation Assignment Topic 2,,
3.2b Equations of Lines in Slope-Intercept Form,5eaedd355adf0d00048543d1,5edbaa8cd0403842cdfc1f07,5ed02101de2b37002e7e7dfe,,
3.3a Point-Slope Form of a Linear Equation,5edbac88d0403841e2fc1ec4,5edbaa8cd0403842cdfc1f07,5ed02101de2b37002e7e7dfe,,
3.3b Converting to Slope-Intercept Form,5edbac9ad040384193fc1f20,5eaedd355adf0d00048543d1,5edbac88d0403841e2fc1ec4,,
3.3c Finding a Point-Slope Equation for a Line,5edbacd419b334413279e907,5ed02101de2b37002e7e7dfe,5edbac88d0403841e2fc1ec4,,
3.4a Solutions of Inequalities in Two Variables,5eaedd365adf0d00048543e4,5edb9fc2d040384193fc1e64,5ed020eb6528c3000c0f62ee,,
3.4b Graphing Linear Inequalities in Two Variables,5edbb0de3206d3418e9ac71d,5edbaa8cd0403842cdfc1f07,5eaedd365adf0d00048543e4,,
4.1a Graphical Solutions of Systems of Linear Equations,5eaedd365adf0d00048543ee,5edbaa8cd0403842cdfc1f07,,,
4.1b Algebraic Solutions of Systems of Linear Equations,5eaedd365adf0d00048543f7,5edb963319b33440e479e7dd,5ed585b3082fa825654159c8,,
4.1c Inconsistent and Dependent Systems,5edbecda3206d354679ac9d8,5eaedd365adf0d00048543ee,5eaedd365adf0d00048543f7,,
5.1a Properties of Exponents,5eaedd375adf0d0004854421,5ec15d4ff30afe322fc31864,,,
5.1b Integer Exponents,5eaedd395adf0d0004854458,5eaed97d5adf0d0004853150,,,
5.1c Scientific Notation,5edbee4319b33441d679eeef,5edaba07516661004e906442,5eaed97e5adf0d000485316e,,
5.2a Polynomial Terminology,5eebb2db8aaf060baa00ccd4,5edac4e6457acf2071d905d4,,,
5.2b Adding and Subtracting Polynomials,5eaedd375adf0d0004854415,5eeb9e6df6a8090ae0af64dd,,,
5.2c Multiplying Polynomials,5eaedd385adf0d000485442a,5eaed97d5adf0d0004853150,5eaed97d5adf0d0004853148,,
5.2d Special Products,5eaedd385adf0d000485443a,5eaedd385adf0d000485442a,,,
5.2e Dividing by Monomials,5eaedd395adf0d000485444e,5eaed97d5adf0d0004853150,,,
5.3a Finding Common Factors,5eebb3658aaf0609df00cb0c,5eda3a9ff7651e006b791c2c,5eaed97e5adf0d000485315e,5edac5e95166611f3c9058d8,
5.3b Removing Common Factors,5edbf069d0403855aefc23f6,5eaed97f5adf0d000485317b,,,
5.3c Factoring by Grouping,5eebb383f6a80909ceaf6a5a,5edac64b457acf1f56d9060d,,,
5.3d Factoring Quadratic Trinomials,5eaedd3a5adf0d000485446e,5edbf069d0403855aefc23f6,5eebb383f6a80909ceaf6a5a,,
5.3e Factoring Special Products,5eaedd3a5adf0d000485447f,5eaedd385adf0d000485443a,5eaedd3a5adf0d000485446e,,
5.3f A General Strategy for Factoring Polynomials,5eaedd3b5adf0d0004854488,5edbf069d0403855aefc23f6,5eebb383f6a80909ceaf6a5a,5eaedd3a5adf0d000485446e,5eaedd3a5adf0d000485447f
6.1a Solving Quadratic Equations by Taking Square Roots,5eaedd3f5adf0d00048544f8,5eea92d28aaf06001100cc67,5eea92ea777637002ce51efd,,
6.1b Solving Quadratic Equations by Factoring,5eaedd3b5adf0d0004854491,5eaedd3a5adf0d000485446e,,,
6.1c Completing the Square,5eaedd3f5adf0d0004854501,5eaedd3a5adf0d000485446e,5eaedd3a5adf0d000485447f,,
6.1d The Quadratic Formula,5eaedd405adf0d000485450b,5eea92ea777637002ce51efd,,,
6.1e The Discriminant,5edbf2c319b334540779ecef,5eaedd405adf0d000485450b,,,
"6.2a Parabolas: Vertex, Intercepts, and Axis of Symmetry",5edbf3b2d0403854fafc26dd,5eaedd3f5adf0d0004854501,,,
6.2b Graphing Quadratic Equations,5eaedd405adf0d000485451e,5edbf3b2d0403854fafc26dd,,,
6.2c Graphical Transformations,5edbf3cc3206d3540b9acc66,5edbf3b2d0403854fafc26dd,5eaedd405adf0d000485451e,,
6.2d Optimization Problems,5edbf3da19b334549979edb0,5edbf3b2d0403854fafc26dd,,,
7.1a Multiplying and Dividing Rational Expressions,5eaedd3b5adf0d0004854499,5ebc50e3a08608553af85cc0,5eaedd3b5adf0d0004854488,,
7.1b Adding and Subtracting Rational Expressions,5eaedd3c5adf0d00048544a2,5eea8b0e8aaf06000f00d18f,5eebb3658aaf0609df00cb0c,,
7.2a Rational Equations,5eaedd3c5adf0d00048544b5,5ed585b3082fa825654159c8,5eebb3658aaf0609df00cb0c,5eaedd3b5adf0d0004854491,5eaedd405adf0d000485450b
7.2c Direct and Inverse Variation,5eaedd3d5adf0d00048544ca,5eaed9775adf0d00048530c3,5eaedd3c5adf0d00048544b5,,
8.1a Adding and Subtracting Square Roots,5eaedd3e5adf0d00048544dd,5eea92ea777637002ce51efd,,,
8.1b Multiplying and Dividing Square Roots,5edbf6dd3206d3540b9acdf4,5eea92ea777637002ce51efd,5edb9395d040384321fc1d4e,,
8.1c Rationalizing Denominators,5edbf6f2d0403855aefc2596,5edbf6dd3206d3540b9acdf4,,,
8.2a Equations with Square Roots,5eaedd3e5adf0d00048544e7,5eaedd385adf0d000485442a,5eaedd3b5adf0d0004854491,,
8.3a Rational Exponents,5eaedd3e5adf0d00048544ef,5eaedd375adf0d0004854421,5eaedd395adf0d0004854458,,
8.3b Higher Roots of Numbers,5edbf8493206d36d2d9ac380,5eaedd3e5adf0d00048544ef,,,
8.3d Using Fractional Exponents to Multiply and Divide Radicals,5edbf86c19b3346dfd79e624,5eaedd3e5adf0d00048544ef,5edbf8493206d36d2d9ac380,,
